Master Record Number,Date,Weekend?,Hour,Collision Type,Injury Type,Primary Factor,Reported_Location,Latitude,Longitude,Location
902582972,2015-12-04,Weekday,2200,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,2ND & HIGH,39.160944,-86.508288,"39.160944,-86.508288"
902484079,2015-07-06,Weekday,1300,2-Car,Incapacitating,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,S LEONARD SPRINGS,39.142048,-86.582592,"39.142048,-86.582592"
902399070,2015-02-06,Weekday,1600,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,BARGE & S LEONARD SPRINGS,39.13579732,-86.582496,"39.13579732,-86.582496"
902403874,2015-02-06,Weekday,1300,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,GRAHAM & ROGERS,39.13992,-86.538416,"39.13992,-86.538416"
902471166,2015-06-06,Weekday,500,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,SR37N & WYLIE,39.19857096,-86.5295245,"39.19857096,-86.5295245"
902368964,2015-01-05,Weekday,600,2-Car,Non-incapacitating,IMPROPER TURNING,S COLLEGE & W 4TH,39.165664,-86.5348,"39.165664,-86.5348"
902517982,2015-09-04,Weekday,2200,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,COLLEGE MALL & E 2ND,39.160944,-86.497696,"39.160944,-86.497696"
902429881,2015-04-04,Weekday,1200,2-Car,No injury/unknown,UNSAFE BACKING,N COLLEGE,39.175984,-86.534736,"39.175984,-86.534736"
902562626,2015-11-07,Weekend,1200,3+ Cars,No injury/unknown,FOLLOWING TOO CLOSELY,ARBUTUS & THIRD,39.16427024,-86.51217006,"39.16427024,-86.51217006"
902440827,2015-05-04,Weekday,1900,2-Car,No injury/unknown,IMPROPER LANE USAGE,S COLLEGE,39.17088686,-86.534768,"39.17088686,-86.534768"
902526717,2015-09-05,Weekday,1100,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,E ATWATER & S HENDERSON,39.163344,-86.5272,"39.163344,-86.5272"
902370000,2015-01-05,Weekday,1300,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,2ND & PATTERSON,39.16074984,-86.54850997,"39.16074984,-86.54850997"
902472602,2015-06-03,Weekday,1200,2-Car,No injury/unknown,UNSAFE BACKING,EAST 7TH,39.168752,-86.5436,"39.168752,-86.5436"
902430992,2015-04-07,Weekend,1400,2-Car,Non-incapacitating,FOLLOWING TOO CLOSELY,17TH & SR46,39.17984,-86.507088,"39.17984,-86.507088"
902458081,2015-06-07,Weekend,2200,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,ACUFF & SR37S,39.2123076,-86.55386352,"39.2123076,-86.55386352"
902450952,2015-05-03,Weekday,100,2-Car,No injury/unknown,UNSAFE BACKING,ALEXANDER & W 11TH,39.173344,-86.549296,"39.173344,-86.549296"
902583683,2015-12-02,Weekday,2100,1-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,MCNEELY & N UNION VALLEY,39.15804397,-86.59277983,"39.15804397,-86.59277983"
902532925,2015-10-06,Weekday,1500,2-Car,No injury/unknown,LEFT OF CENTER,ROCKPORT & VICTOR,39.06010496,-86.60378321,"39.06010496,-86.60378321"
902565300,2015-11-04,Weekday,800,2-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,3600 S WALNUT ST & HEATHER,39.12398948,-86.52669977,"39.12398948,-86.52669977"
902456147,2015-06-03,Weekday,1600,2-Car,No injury/unknown,,SOUTH STATE ROAD 46,39.206312,-86.571312,"39.206312,-86.571312"
902379686,2015-01-07,Weekend,800,2-Car,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,N MADISON & W 17TH,39.178992,-86.537792,"39.178992,-86.537792"
902547335,2015-10-03,Weekday,2000,2-Car,Non-incapacitating,SPEED TOO FAST FOR WEATHER CONDITIONS,HILLSIDE & NANCY,39.15050983,-86.51106029,"39.15050983,-86.51106029"
902400766,2015-02-02,Weekday,1600,2-Car,No injury/unknown,UNSAFE BACKING,17TH & WALNUT GROVE,39.17896861,-86.52179368,"39.17896861,-86.52179368"
902556610,2015-11-01,Weekend,300,2-Car,Non-incapacitating,DISREGARD SIGNAL/REG SIGN,10TH & COLLEGE,39.171744,-86.534768,"39.171744,-86.534768"
902519732,2015-09-07,Weekend,1400,Moped/Motorcycle,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,E ATWATER & S FESS,39.163328,-86.525808,"39.163328,-86.525808"
902437612,2015-04-04,Weekday,1400,1-Car,No injury/unknown,UNSAFE BACKING,S FAIRFAX,39.09294436,-86.5167456,"39.09294436,-86.5167456"
902399727,2015-02-07,Weekend,100,2-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,INDIANA & THIRD,39.16430652,-86.52691309,"39.16430652,-86.52691309"
902405967,2015-03-02,Weekday,1800,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,RHORER & S OLD ST RD 37,39.12141994,-86.53134986,"39.12141994,-86.53134986"
902399716,2015-02-01,Weekend,400,1-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,NORTH WALNUT,39.16893387,-86.53321838,"39.16893387,-86.53321838"
902528421,2015-09-01,Weekend,0,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,E MESA,39.09961555,-86.49080387,"39.09961555,-86.49080387"
902515564,2015-09-05,Weekday,1900,Bus,No injury/unknown,IMPROPER PASSING,EAST 3RD & S BALLENTINE,39.16427024,-86.51912972,"39.16427024,-86.51912972"
902548091,2015-10-04,Weekday,1400,2-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,HENDERSON & HILLSIDE,39.15064,-86.52696,"39.15064,-86.52696"
902581174,2015-12-05,Weekday,1400,2-Car,No injury/unknown,UNSAFE BACKING,S OLD STATE ROAD 37,39.137088,-86.53056,"39.137088,-86.53056"
902489173,2015-07-07,Weekend,2100,2-Car,No injury/unknown,UNSAFE BACKING,N WALNUT,39.18198955,-86.53374367,"39.18198955,-86.53374367"
902571711,2015-11-04,Weekday,2200,2-Car,Non-incapacitating,UNSAFE SPEED,3RD & LIBERTY,39.16461021,-86.57913006,"39.16461021,-86.57913006"
902603001,2015-12-01,Weekend,1600,3+ Cars,No injury/unknown,UNSAFE SPEED,W SR 45,39.14186096,-86.5799179,"39.14186096,-86.5799179"
902471429,2015-06-04,Weekday,1500,Moped/Motorcycle,Incapacitating,RAN OFF ROAD RIGHT,N RICHARDSON & SR45E,39.24700928,-86.39276627,"39.24700928,-86.39276627"
902422080,2015-04-04,Weekday,600,1-Car,No injury/unknown,DRIVER ASLEEP OR FATIGUED,BRYANTS CREEK & SR37,39.33556319,-86.51152924,"39.33556319,-86.51152924"
902408583,2015-03-05,Weekday,1700,2-Car,No injury/unknown,UNSAFE LANE MOVEMENT,THIRTEENTH & WOODLAWN,39.17521693,-86.52386099,"39.17521693,-86.52386099"
902511055,2015-08-02,Weekday,1500,1-Car,No injury/unknown,OTHER (VEHICLE) - EXPLAIN IN NARRATIVE,RENWICK,39.14958954,-86.50096893,"39.14958954,-86.50096893"
902381558,2015-01-03,Weekday,700,2-Car,No injury/unknown,ROADWAY SURFACE CONDITION,MATTHEWS & MCNEELY,39.23821002,-86.62392027,"39.23821002,-86.62392027"
902575221,2015-12-03,Weekday,1700,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,ACADIA & WINSLOW,39.13599975,-86.51902981,"39.13599975,-86.51902981"
902537620,2015-10-02,Weekday,400,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,E 9TH & N LICOLN,39.1704601,-86.53104007,"39.1704601,-86.53104007"
902425823,2015-04-03,Weekday,1700,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,S ROCKPORT & W MAY,39.093344,-86.5868,"39.093344,-86.5868"
902572360,2015-11-06,Weekday,1400,1-Car,Non-incapacitating,SPEED TOO FAST FOR WEATHER CONDITIONS,ALLEN & BLOOMFIELD,39.156144,-86.561296,"39.156144,-86.561296"
902596752,2015-12-03,Weekday,1600,2-Car,No injury/unknown,UNSAFE BACKING,3400 INDIAN CREEK & FARINTON,39.13438,-86.57640301,"39.13438,-86.57640301"
902520096,2015-09-01,Weekend,1700,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,E 10TH & GRANT,39.171696,-86.529696,"39.171696,-86.529696"
902410823,2015-03-02,Weekday,1200,2-Car,No injury/unknown,UNSAFE BACKING,SOUTH FESS,39.16406237,-86.52593381,"39.16406237,-86.52593381"
902556184,2015-11-06,Weekday,1200,2-Car,No injury/unknown,LEFT OF CENTER,NORTH MORTON,39.16874313,-86.53587341,"39.16874313,-86.53587341"
902504709,2015-08-06,Weekday,1200,2-Car,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,17TH & COLLEGE,39.17874028,-86.53472169,"39.17874028,-86.53472169"
902423678,2015-04-07,Weekend,1300,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,LIBERTY & W 3RD,39.13288687,-86.57913006,"39.13288687,-86.57913006"
902442202,2015-05-06,Weekday,1500,3+ Cars,Non-incapacitating,FOLLOWING TOO CLOSELY,EAST 3RD & WOODCREST,39.164272,-86.502416,"39.164272,-86.502416"
902558076,2015-11-02,Weekday,700,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,KERR CREEK & SR46,39.1668311,-86.45897634,"39.1668311,-86.45897634"
902533953,2015-10-03,Weekday,1000,Cyclist,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,3RD & CLARIZZ,39.16424,-86.4908,"39.16424,-86.4908"
902471626,2015-06-06,Weekday,700,2-Car,Incapacitating,LEFT OF CENTER,NIMIT & RHORER,39.12145011,-86.52385698,"39.12145011,-86.52385698"
902454028,2015-05-07,Weekend,1200,1-Car,Incapacitating,DRIVER ILLNESS,NORTH JACKSON & WEST 17TH,39.179024,-86.539616,"39.179024,-86.539616"
902404141,2015-02-06,Weekday,1200,2-Car,No injury/unknown,UNSAFE BACKING,S HENDERSTON,39.13727951,-86.5280075,"39.13727951,-86.5280075"
902405875,2015-03-02,Weekday,1500,2-Car,No injury/unknown,IMPROPER PASSING,E LAW & FEE,39.17392294,-86.51845431,"39.17392294,-86.51845431"
902544072,2015-10-04,Weekday,1600,2-Car,No injury/unknown,UNSAFE BACKING,W WYLIE,39.15944,-86.55776914,"39.15944,-86.55776914"
902371877,2015-01-02,Weekday,600,2-Car,No injury/unknown,DISREGARD SIGNAL/REG SIGN,BLOOMFIELD & SR37,39.148144,-86.572992,"39.148144,-86.572992"
902401835,2015-02-03,Weekday,1400,2-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,GILHAM & SR45W,39.12619019,-86.61423768,"39.12619019,-86.61423768"
902411339,2015-03-03,Weekday,1700,2-Car,No injury/unknown,UNSAFE BACKING,E THIRD,39.0803299,-86.51473999,"39.0803299,-86.51473999"
902564126,2015-11-02,Weekday,1900,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,SR37N & W VERNAL,39.17617467,-86.56292242,"39.17617467,-86.56292242"
902426261,2015-04-05,Weekday,1200,1-Car,No injury/unknown,OTHER (VEHICLE) - EXPLAIN IN NARRATIVE,N JORDAN,39.1676,-86.516168,"39.1676,-86.516168"
902514211,2015-09-05,Weekday,1000,2-Car,No injury/unknown,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,SR37S & VICTOR,39.105552,-86.551104,"39.105552,-86.551104"
902422865,2015-04-05,Weekday,1300,2-Car,No injury/unknown,IMPROPER LANE USAGE,3RD & FACULTY,39.164352,-86.521088,"39.164352,-86.521088"
902442862,2015-05-07,Weekend,800,1-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,7TH & ADAMS,39.168576,-86.5496,"39.168576,-86.5496"
902591985,2015-12-05,Weekday,1800,2-Car,No injury/unknown,UNSAFE LANE MOVEMENT,E ATWATER & S MITCHELL,39.16308001,-86.5141797,"39.16308001,-86.5141797"
902376062,2015-01-04,Weekday,1800,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,SR37S & WEST WAYSIDE,39.10921097,-86.53382873,"39.10921097,-86.53382873"
902404302,2015-02-07,Weekend,1500,2-Car,No injury/unknown,IMPROPER TURNING,6TH & LINCOLN,39.16768436,-86.53081568,"39.16768436,-86.53081568"
902499206,2015-08-04,Weekday,800,1-Car,No injury/unknown,UNSAFE BACKING,7TH & WOODLAWN,39.16864,-86.523392,"39.16864,-86.523392"
902530215,2015-09-03,Weekday,1200,2-Car,No injury/unknown,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,S MAPLE & W 2ND,39.161568,-86.542096,"39.161568,-86.542096"
902564666,2015-11-03,Weekday,1200,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,HIGHLAND & MILLER,39.146992,-86.517392,"39.146992,-86.517392"
902563041,2015-11-07,Weekend,1100,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,10TH & DUNN,39.17168,-86.528256,"39.17168,-86.528256"
902471627,2015-06-02,Weekday,600,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,BURCH & SR45W,39.08812773,-86.66905971,"39.08812773,-86.66905971"
902526141,2015-09-06,Weekday,1300,2-Car,No injury/unknown,UNSAFE BACKING,DANIELS,39.16671172,-86.59908838,"39.16671172,-86.59908838"
902383017,2015-01-03,Weekday,1300,1-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,S ADAMS,39.164544,-86.552192,"39.164544,-86.552192"
902370571,2015-01-06,Weekday,1500,2-Car,No injury/unknown,RAN OFF ROAD RIGHT,MOORES CREEK & SNOODY,39.12134014,-86.48974361,"39.12134014,-86.48974361"
902496305,2015-08-06,Weekday,1600,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,E 10TH & UNION,39.171472,-86.509376,"39.171472,-86.509376"
902371197,2015-01-01,Weekend,100,2-Car,No injury/unknown,UNSAFE LANE MOVEMENT,7TH & N ROGERS,39.168704,-86.538576,"39.168704,-86.538576"
902434741,2015-04-07,Weekend,1500,2-Car,Fatal,RAN OFF ROAD RIGHT,KIRBY & W ST RD 48,39.05918475,-86.61081969,"39.05918475,-86.61081969"
902530412,2015-09-04,Weekday,700,2-Car,Incapacitating,LEFT OF CENTER,MAPLE GROVE & NORTH MAPLE GROVE,39.206352,-86.557696,"39.206352,-86.557696"
902571785,2015-11-04,Weekday,1100,Bus,No injury/unknown,UNSAFE BACKING,MULLER,39.16180998,-86.56743228,"39.16180998,-86.56743228"
902471870,2015-06-02,Weekday,1300,2-Car,No injury/unknown,UNSAFE BACKING,N HEADLEY,39.18671619,-86.51449029,"39.18671619,-86.51449029"
902404235,2015-02-06,Weekday,1200,2-Car,No injury/unknown,,FEE & LAW,39.173787,-86.51716386,"39.173787,-86.51716386"
902550114,2015-10-05,Weekday,100,1-Car,No injury/unknown,IMPROPER TURNING,ACADIA & EAST WINSLOW,39.136048,-86.518496,"39.136048,-86.518496"
902529816,2015-09-01,Weekday,2200,1-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,ARLINGTON & MAPLE GROVE,39.19982711,-86.55963587,"39.19982711,-86.55963587"
902464120,2015-06-02,Weekday,2000,2-Car,No injury/unknown,UNSAFE BACKING,N GATES,39.16987228,-86.57498168,"39.16987228,-86.57498168"
902545439,2015-10-07,Weekend,500,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,SR45N & W 3RD,39.164752,-86.573104,"39.164752,-86.573104"
902550308,2015-11-01,Weekend,0,1-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,E 19TH & N DUNN,39.18104,-86.5284,"39.18104,-86.5284"
902504673,2015-08-07,Weekend,300,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,3RD & GRANT,39.16464,-86.529728,"39.16464,-86.529728"
902436878,2015-04-01,Weekend,1100,2-Car,No injury/unknown,UNSAFE BACKING,EAST 10TH,39.171648,-86.50435515,"39.171648,-86.50435515"
902455799,2015-06-03,Weekday,1900,2-Car,Incapacitating,DISREGARD SIGNAL/REG SIGN,EAST THIRD & INDIANA,39.164448,-86.5268,"39.164448,-86.5268"
902407778,2015-03-04,Weekday,1800,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,E 3RD & S GRANT,39.16464,-86.529728,"39.16464,-86.529728"
902518137,2015-09-04,Weekday,1200,2-Car,No injury/unknown,UNSAFE BACKING,E 4TH,39.165648,-86.529488,"39.165648,-86.529488"
902378775,2015-01-05,Weekday,900,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,TENTH & WOODLAWN,39.17162998,-86.52351778,"39.17162998,-86.52351778"
902376554,2015-01-02,Weekday,200,2-Car,No injury/unknown,UNSAFE LANE MOVEMENT,JORDAN & THIRD,39.16427532,-86.51640856,"39.16427532,-86.51640856"
902467080,2015-06-07,Weekend,1600,1-Car,No injury/unknown,UNSAFE SPEED,S LEONARD SPRINGS & W MAY,39.09344,-86.591792,"39.09344,-86.591792"
902418734,2015-03-03,Weekday,1500,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,CHAFFIN CHAPEL & SR46W,39.25960159,-86.64377545,"39.25960159,-86.64377545"
902396512,2015-02-03,Weekday,1700,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,E 3RD & S GRANT,39.16464,-86.529728,"39.16464,-86.529728"
902579173,2015-12-02,Weekday,1400,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,S ACADIA,39.13459495,-86.51912704,"39.13459495,-86.51912704"
902418409,2015-03-03,Weekday,1100,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,W 3RD & WESTPLEX,39.16440971,-86.55389986,"39.16440971,-86.55389986"
902542274,2015-10-02,Weekday,1900,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,EAST 5TH & NORTH CLARK,39.16681029,-86.50497972,"39.16681029,-86.50497972"
902462253,2015-06-04,Weekday,1100,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,GORDON & OLD STATE ROAD 37,39.121552,-86.531296,"39.121552,-86.531296"
902412595,2015-03-05,Weekday,1900,3+ Cars,No injury/unknown,RAN OFF ROAD RIGHT,BURMA,39.141616,-86.542032,"39.141616,-86.542032"
902486880,2015-07-04,Weekday,1100,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,DUNCAN & SR45W,39.13467187,-86.59671551,"39.13467187,-86.59671551"
902367995,2015-01-03,Weekday,1000,2-Car,No injury/unknown,UNSAFE BACKING,RAPPEL,39.18768311,-86.54618835,"39.18768311,-86.54618835"
902397489,2015-02-04,Weekday,2000,3+ Cars,No injury/unknown,FOLLOWING TOO CLOSELY,BUICK CADILLAC & COLLEGE MALL,39.15816,-86.497792,"39.15816,-86.497792"
902364412,2015-01-06,Weekend,2300,2-Car,Non-incapacitating,DISREGARD SIGNAL/REG SIGN,BASSWOOD & BLOOMFIELD,39.14978027,-86.56889006,"39.14978027,-86.56889006"
902411471,2015-03-03,Weekday,1200,1-Car,No injury/unknown,OTHER (ENVIRONMENTAL) - EXPLAIN IN NARR,DANIELS,39.16671172,-86.59908838,"39.16671172,-86.59908838"
902423301,2015-04-05,Weekday,900,Bus,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,3RD & COLLEGE,39.16464,-86.534816,"39.16464,-86.534816"
902389546,2015-02-05,Weekday,800,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,N CURRY & W VERNAL,39.179248,-86.5832,"39.179248,-86.5832"
902503413,2015-08-04,Weekday,1400,2-Car,Non-incapacitating,FOLLOWING TOO CLOSELY,SR37 & WEST 3RD,39.164752,-86.573104,"39.164752,-86.573104"
902502080,2015-08-02,Weekday,300,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,JOHN YOUNG & SHILO,39.26518382,-86.43351561,"39.26518382,-86.43351561"
902604954,2015-10-01,Weekend,1200,2-Car,No injury/unknown,UNSAFE LANE MOVEMENT,ATWATER & MITCHELL,39.16308001,-86.5141797,"39.16308001,-86.5141797"
902545685,2015-10-01,Weekday,2000,2-Car,Incapacitating,,E MORNINGSIDE & N SMITH,39.166432,-86.4812,"39.166432,-86.4812"
902606125,2015-12-05,Weekday,1400,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,E 4TH & WALNUT,39.165648,-86.5336,"39.165648,-86.5336"
902397371,2015-02-04,Weekday,1600,2-Car,No injury/unknown,UNSAFE LANE MOVEMENT,SR446S & SR46E,39.135648,-86.462,"39.135648,-86.462"
902595367,2015-12-01,Weekday,2200,2-Car,No injury/unknown,IMPROPER TURNING,E 3RD,39.16423674,-86.49805388,"39.16423674,-86.49805388"
902387451,2015-02-04,Weekday,1400,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,EAST 7TH,39.168752,-86.5436,"39.168752,-86.5436"
902432313,2015-04-03,Weekday,800,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,LIBERTY & STATE ROAD 45,39.25071158,-86.57777018,"39.25071158,-86.57777018"
902459199,2015-06-06,Weekday,1100,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,MONROE DAM & VALLEY MISSION,39.009344,-86.510096,"39.009344,-86.510096"
902372716,2015-01-03,Weekday,300,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,CHANDLER & RENEE,39.23488,-86.616736,"39.23488,-86.616736"
902586277,2015-12-07,Weekend,1600,2-Car,No injury/unknown,IMPROPER PASSING,3RD & COLLEGE MALL,39.16424,-86.4984,"39.16424,-86.4984"
